task_id,task_name,description,owner,estimate_hours
1,eda,Run exploratory data analysis (counts, label distribution, hashtags, mentions),Data Engineer,1
2,normalize,Apply normalization (NFKC, HTML unescape, URL/token replacement),Data Engineer,1
3,feature_extraction,Extract counts and lexicon features (VADER),Data Engineer,1
4,tokenize_vectorize,Fit TF-IDF / CountVectorizer (train-only) and save pipeline,ML Engineer,2
5,lda,Train LDA on train tokens and save model (optional),Analyst,1
6,embeddings,Precompute SBERT embeddings for train/test and save artifacts,Architect/Model Lead,2
7,persist,Save train/test processed parquet and artifacts (pipelines, embeddings),Data Engineer,1
8,qa,Run QA checks and reproducibility script,QA/Reviewer,1
9,prd_update,Programmatically update PRD with final choices and EDA summary,Product Owner,0.5
10,docs,Save figures and notebook and create short report and slides,Analyst,2
